listing_url,listing_no,title,location,prop_type,list_date,price_ksh,price_flag,log_price_ksh,size_acres,size_source,log_size_acres,latitude,longitude,geocode_source,geocode_confidence,county,dist_to_nairobi_km,dist_to_county_town_km,reference_city,reference_city_dist_km,amenities_score,accessibility_score,price_per_acre,log_price_per_acre
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kiambu-117040209,117040209,Vacant Land / Plot for Sale in Kiambu,"Kiambu, Kiambu",,18-Mar-26,12000000.0,clean,16.300417207752275,,missing,,-1.036395,36.8431312,nlp_landmark,0.5,Kiambu,28.53,28.53,Kiambu,1.62,26.33,52.59,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-migori-116904208,116904208,Vacant Land / Plot for Sale in Migori,"Vfx8+vc Migori, Migori, Migori",,9-Feb-26,980000.0,clean,13.795307850646754,0.229568,nlp_description,-1.4715559970723198,-1.0634,34.4731,county_centroid,0.2,Migori,262.35,262.35,Migori,0.0,85.85,72.03,4268887.65,15.266863847754992
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kyuna-116950333,116950333,Vacant Land / Plot for Sale in Kyuna,"Lower Kabete Rd Nairobi, Kyuna, Nairobi",,21-Feb-26,550000000.0,clean,20.125428836190792,2.5,nlp_description,0.9162907318741551,-1.2383048,36.7439314,street_address,0.8,Nairobi,10.53,10.53,Nairobi,10.53,56.67,53.74,220000000.0,19.209138104316636
https://www.property24.co.ke/vacant-land-plot-for-sale-in-lower-kabete-116959625,116959625,Vacant Land / Plot for Sale in Lower Kabete,"Nairobi, Lower Kabete",,24-Feb-26,500000000.0,clean,20.030118656386467,5.0,nlp_description,1.6094379124341003,-1.2403033,36.7523519,nlp_landmark,0.5,Nairobi,9.64,9.64,Nairobi,9.64,59.04,56.04,100000000.0,18.420680743952367
https://www.property24.co.ke/vacant-land-plot-for-sale-in-runda-116901088,116901088,Vacant Land / Plot for Sale in Runda,"Runda Kitisuru, Runda, Nairobi",,9-Feb-26,140000000.0,clean,18.75715298057358,1.2,nlp_description,0.1823215567939546,-1.2921,36.8219,county_centroid,0.2,Nairobi,0.0,0.0,Nairobi,0.0,95.04,96.11,116666666.67,18.574831423808195
https://www.property24.co.ke/vacant-land-plot-for-sale-in-karen-117052048,117052048,Vacant Land / Plot for Sale in Karen,"Nairobi, Karen",,21-Mar-26,35000000.0,clean,17.37085861945369,0.5,nlp_description,-0.6931471805599453,1.4419683,38.4313975,nlp_landmark,0.5,Isiolo,352.77,352.77,Isiolo,153.47,0.0,0.31,70000000.0,18.064005800013632
https://www.property24.co.ke/vacant-land-plot-for-sale-in-lower-kabete-116959746,116959746,Vacant Land / Plot for Sale in Lower Kabete,"Nairobi, Lower Kabete",,24-Feb-26,400000000.0,clean,19.806975105072254,4.0,nlp_description,1.3862943611198906,-1.2405004,36.7501687,location_town,0.3,Nairobi,9.82,9.82,Nairobi,9.82,59.28,57.11,100000000.0,18.420680743952367
https://www.property24.co.ke/vacant-land-plot-for-sale-in-karen-117039157,117039157,Vacant Land / Plot for Sale in Karen,"Karen Karen, Karen, Nairobi",,18-Mar-26,45000000.0,clean,17.622173047734595,0.5,nlp_description,-0.6931471805599453,-1.3364304,36.704026,street_address,0.8,Nairobi,14.0,14.0,Nairobi,14.0,75.79,50.42,90000000.0,18.31532022829454
https://www.property24.co.ke/vacant-land-plot-for-sale-in-elementaita-116960357,116960357,Vacant Land / Plot for Sale in Elementaita,"Nakuru, Elementaita",,24-Feb-26,11000000.0,clean,16.213405830762646,2.0,nlp_description,0.6931471805599453,-1.0407228,37.0720684,nlp_landmark,0.5,Kiambu,39.43,39.43,Kiambu,26.94,86.95,46.55,5500000.0,15.520258650202699
https://www.property24.co.ke/vacant-land-plot-for-sale-in-karen-117073783,117073783,,,,,,missing,,,missing,,,,failed,0.0,,,,,,0.0,,,
